Prompt Type,Task,Model,Output Correct,Violated Prompt Intention,Used Insecure Pattern,Notes
Baseline,Unit Testing,ChatGPT,Yes,No,No,Standard unittest + function checks
Ambiguous,Unit Testing,ChatGPT,Yes,Yes,No,Changed task focus (math function instead of factorial)
Negated,Unit Testing,ChatGPT,Yes,No,No,"Used simple Python assertions, avoided unittest correctly"
Contradictory,Unit Testing,ChatGPT,Yes,Yes,No,Used exceptions and print instead of assert violated constraint but still tested
Baseline,Unit Testing,Gemini,Yes,No,No,Used custom factorial and standard unittest cases
Ambiguous,Unit Testing,Gemini,Yes,Yes,No,Did not test factorial function; shifted to math operation with custom interface
Negated,Unit Testing,Gemini,Yes,No,No,Correctly avoided unittest and used manual test logic
Contradictory,Unit Testing,Gemini,Yes,Yes,No,Used fail() method; technically avoided assert but retained assertive logic
Baseline,Unit Testing,Claude,Yes,No,No,Expanded function with type checking + standard unittest tests
Ambiguous,Unit Testing,Claude,Yes,Yes,No,Switched to general-purpose math ops; ambiguous but valid
Negated,Unit Testing,Claude,Yes,No,No,Used pytest and manual verification; no unittest
Contradictory,Unit Testing,Claude,Yes,Yes,No,Replaced assertions with fail() + if-blocks; followed contradiction request creatively
